0,0
221,1
222,2
236,3
237,4
248,5
249,6
260,7
261,8
272,9
273,10
284,11
285,12
303,13
304,14
316,15
317,16
333,17
334,18
361,19
362,20
375,21
376,22
392,23
393,24
420,25
421,26
434,27
435,28
451,29
452,30
479,31
480,32
493,33
494,34
510,35
511,36
538,37
539,38
552,39
553,40
569,41
570,42
597,43
598,44
611,45
612,46
628,47
629,48
656,49
657,50
670,51
671,52
687,53
688,54
715,55
716,56
729,57
730,58
746,59
747,60
774,61
775,62
788,63
789,64
805,65
806,66
833,67
834,68
847,69
848,70
864,71
865,72
892,73
893,74
906,75
907,76
923,77
924,78
951,79
952,80
965,81
966,82
982,83
983,84
1010,85
1011,86
1045,87
1046,88
1057,89
1058,90
1072,91
1073,92
1090,93
1091,94
1120,95
1121,96
1137,97
1138,98
1139,99
1166,100
1167,101
1179,102
1291,103
1291,103
