RolloutNum, RadiusNN, NumNN, MCParticles, avgTimePerNeighbor, totalTimeSecs
230,2.25,5,0.046
231,2.25,5,0.039
232,2.25,5,0.04
233,2.25,5,0.041
234,2.25,5,0.032
235,2.25,5,0.032
236,2.25,5,0.037
237,2.25,5,0.035
238,2.25,5,0.035
239,2.25,5,0.035
240,2.25,5,0.03
241,2.25,5,0.032
242,2.25,5,0.03
243,2.25,5,0.025
244,2.25,5,0.032
245,2.25,5,0.039
246,2.25,5,0.037
247,2.25,5,0.053
248,2.25,5,0.044
249,2.25,5,0.053
250,2.25,5,0.048
251,2.25,5,0.056
252,2.25,5,0.052
253,2.25,5,0.059
254,2.25,5,0.052
255,2.25,5,0.054
256,2.25,5,0.064
257,2.25,5,0.055
258,2.25,5,0.071
259,2.25,5,0.072
260,2.25,5,0.067
261,2.25,5,0.048
262,2.25,5,0.044
263,2.25,5,0.039
264,2.25,5,0.036
265,2.25,5,0.052
266,2.25,5,0.05
267,2.25,5,0.05
268,2.25,5,0.058
269,2.25,5,0.048
270,2.25,5,0.051
271,2.25,5,0.049
272,2.25,5,0.052
273,2.25,5,0.055
274,2.25,5,0.046
275,2.25,5,0.049
276,2.25,5,0.043
277,2.25,5,0.043
278,2.25,5,0.041
279,2.25,5,0.046
